Nome scuola,Indirizzo,Grado,Forma,Sito
Scuola Primaria Paolo Caliari,Via Gino Ferroni 4,Primaria,Pubblica,https://www.icmozzecane.edu.it/scuola-primaria-mozzecane 
Scuola Secondaria di primo grado Italo Montemezzi,Via XXV Aprile snc,Secondaria I Grado,Pubblica,In aggiornamento per Info contattare Comune Mozzecane
Scuola dell'Infanzia Benigno Zaccagnini,Via dell'Aviatore,Infanzia,Privata,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VR1AZQ500Q/scuola-dellinfanzia-scuola-comunale-benigno-zaccag/ 
Scuola dell'Infanzia Beato Giuseppe Baldo,Via Crocetta 1,Infanzia,Privata,https://www.comunemozzecane.it/it/point-of-interest/scuola-materna-privata-beato-giuseppe-baldo 
Scuola dell’infanzia Francesco Miniscalchi,Via Francesco Miniscalchi 2,Infanzia,Privata,https://www.paginegialle.it/mozzecane-vr/scuole-pubbliche/scuola-infanzia-paritaria-miniscalchi-erizzo 
asilo nido La caramella,Via Caterina Bon Brenzoni 78,Asilo nido,Privata,https://www.facebook.com/asilonidolacaramella/?locale=it_IT 
Asilo nido Il cavalluccio marino,Via Paolo Borsellino 2B,Asilo nido,Privata,https://www.facebook.com/asilonidoilcavallucciomarino/?locale=it_IT 
Steiner-Waldorf,Località Laura 3,Infanzia,Privata,http://www.scuolawaldorfverona.it/it/contattaci 
Steiner-Waldorf,Località Laura 3,Primaria,Privata,http://www.scuolawaldorfverona.it/it/contattaci 
Steiner-Waldorf,Località Laura 4,Secondaria I Grado,Privata,http://www.scuolawaldorfverona.it/it/contattaci 
Istituto delle Poverette della Casa Nazareth,Via Duca degli Abruzzi 5,CFP,Privata,http://www.casanazareth.it/ 
