Nome scuola,Indirizzo,Grado,Forma,Sito,Numero,Mail
"Asilo Nido Comunale ""I Molini dell'Adige""",Via Belvedere 30 – 37026 Pescantina,Asilo Nido,Pubblica,https://azalea.coop/asilo-nido-comunale-mulini-delladige/ ,,
"Scuola infanzia di Arcè ""Johon F. Kennedy""",Via Belvedere 51 – 37026 Pescantina,Infanzia,Pubblica,https://www.comune.pescantina.vr.it/c023058/zf/index.php/bandi-di-gara/atti-aggiudicatori/download-file/atto/691 ,,
Scuola infanzia di S. Lucia ,Via Don Morandin 7 – 37026 Pescantina,Infanzia,Pubblica,https://www.ic1pescantina.edu.it/pagine/infanzia-santa-lucia ,,
"Scuola infanzia di Settimo ""Silvia Sartori""",Via dei Pini 43 – 37026 Pescantina,Infanzia,Pubblica,https://www.scuolestatali.eu/scuole_statali/scheda/silvia-sartori-settimo/70905 ,,
"Scuola infanzia di Balconi ""Calabrese Lorenzo""",Via Siedlce 4 – 37026 Pescantina,Infanzia,Pubblica,https://www.comune.pescantina.vr.it/c023058/zf/index.php/bandi-di-gara/atti-aggiudicatori/download-file/atto/691 ,,
Scuola dell'Infanzia Scuola Infanzia San Luigi Piccola Casa Della Divina Provvidenza Cottolengo,Corso San Lorenzo 25 – 37026 Pescantina,Infanzia,Privata,https://pescantina.scuolacottolengo.org/ ,,
"Scuola primaria del capoluogo ""Alunni d'Europa""",Via Ponte 156 – 37026 Pescantina,Primaria di Primo Grado,Pubblica,https://www.tuttitalia.it/veneto/60-pescantina/25-scuole/scuola-primaria/ ,,
"Scuola primaria di Settimo ""F. Baracca""",Via Mons Vicentini 13 – 37026 Pescantina,Primaria di Primo Grado,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/VREE836029/fbaracca-settimo/ ,,
"Scuola di Pescantina ""Ippolito Pindemonte""",Via Borgo 70 – 37026 Pescantina,Secondaria di Primo Grado,Pubblica,https://www.ic1pescantina.edu.it/ ,,
Scuola secondaria di primo grado di Ospedaletto,Via Montindon 3 – 37026 Pescantina,Secondaria di Primo Grado,Pubblica,http://cercalatuascuola.istruzione.it/cercalatuascuola/istituti/RNMM820014/scuola-sec-i-grado-ospedaletto/ ,,
Scuola Bambi&Bimbi,Via Don Milani 4 - Pescantina,Infanzia,Privata,https://www.donmilanibilingualschool.it/chi-siamo ,,
Scuola Bambi&Bimbi,Via Don Milani 4 - Pescantina,Primaria,Privata,https://www.donmilanibilingualschool.it/chi-siamo ,,
Don Lorenzo Milani bilingual school,Via Mirandola 61 – Pescantina,Secondaria I Grado,Privata,https://www.donmilanibilingualschool.it/chi-siamo ,,
